Subject,Session,Run,Bval_Word_Count,AcquisitionTime,SeriesDescription,Denoised_Log,Denoised_Status,Rmgibbs_Log,Rmgibbs_Status
sub-14832x820,ses-SCAP1,run-01,33,13:05:12.480000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14875x840,ses-SCAP1,run-01,33,14:18:55.500000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14875x840,ses-SCAP1,run-02,33,14:18:55.500000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14813x940,ses-SCAP1,run-02,33,09:43:42.640000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14813x940,ses-SCAP1,run-01,33,09:43:42.640000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14777x420,ses-SCAP1,,33,14:27:31.700000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14787x520,ses-SCAP1,run-01,33,11:06:56.530000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14787x520,ses-SCAP1,run-02,33,11:31:45.540000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14735x3140,ses-SCAP1,run-02,33,15:12:31.850000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14735x3140,ses-SCAP1,run-01,33,15:12:31.850000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14921x820,ses-SCAP1,run-01,33,15:40:29.960000,WIP DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14862x320,ses-SCAP1,,33,13:52:0.980000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14761x1240,ses-SCAP1,run-02,33,10:50:19.510000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14761x1240,ses-SCAP1,run-01,33,10:50:19.510000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14841x1340,ses-SCAP1,run-01,33,14:36:0.390000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14723x1040,ses-SCAP1,run-01,33,14:16:24.400000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14723x1040,ses-SCAP1,run-02,33,14:16:24.400000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14909x1540,ses-SCAP1,,33,13:53:29.530000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14908x3540,ses-SCAP1,run-01,33,09:29:7.260000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14908x3540,ses-SCAP1,run-02,33,09:29:7.260000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14742x320,ses-SCAP1,,33,15:14:59.840000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14744x540,ses-SCAP1,run-01,33,09:42:55.000000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14744x540,ses-SCAP1,run-02,33,09:42:55.000000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14744x640,ses-SCAP1,run-02,33,10:49:39.710000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14744x640,ses-SCAP1,run-01,33,10:49:39.710000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14875x1140,ses-SCAP1,run-01,33,09:07:31.650000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14875x1140,ses-SCAP1,run-02,33,09:07:31.650000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14862x720,ses-SCAP1,run-01,33,13:28:41.250000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14733x1540,ses-SCAP1,run-02,33,13:49:42.310000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14733x1540,ses-SCAP1,run-01,33,13:49:42.310000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14741x2240,ses-SCAP1,run-01,33,10:57:34.180000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14741x2240,ses-SCAP1,run-02,33,10:57:34.180000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14922x440,ses-SCAP1,run-01,33,12:44:24.850000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14922x440,ses-SCAP1,run-02,33,12:44:24.850000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14773x320,ses-SCAP1,,33,12:26:43.650000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14706x220,ses-SCAP1,,33,14:39:47.010000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14858x420,ses-SCAP1,run-01,33,14:07:50.980000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14708x1040,ses-SCAP1,run-03,33,09:41:43.900000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14708x1040,ses-SCAP1,run-04,33,09:41:43.900000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14708x1040,ses-SCAP1,run-01,33,09:41:43.900000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14867x3540,ses-SCAP1,run-01,33,11:37:24.570000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14753x520,ses-SCAP1,,33,10:00:48.950000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14705x1440,ses-SCAP1,run-01,33,14:05:14.480000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14705x1440,ses-SCAP1,run-02,33,14:05:14.480000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14757x140,ses-SCAP1,run-01,33,14:32:50.750000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14755x1540,ses-SCAP1,run-02,33,15:36:13.170000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14755x1540,ses-SCAP1,run-01,33,15:36:13.170000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14787x320,ses-SCAP1,,33,16:45:30.820000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14832x720,ses-SCAP1,run-02,33,14:09:6.100000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14832x720,ses-SCAP1,run-01,33,14:09:6.100000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14786x2340,ses-SCAP1,run-01,33,09:42:54.040000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14786x2340,ses-SCAP1,run-02,33,09:42:54.040000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14718x620,ses-SCAP1,,33,13:18:3.370000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14718x520,ses-SCAP1,,33,09:35:25.950000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14735x1640,ses-SCAP1,run-01,33,09:37:44.420000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14735x1640,ses-SCAP1,run-02,33,09:37:44.420000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14824x1340,ses-SCAP1,run-01,33,16:25:54.170000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14824x1340,ses-SCAP1,run-02,33,16:25:54.170000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14770x620,ses-SCAP1,run-01,33,14:25:8.760000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14908x3740,ses-SCAP1,,33,10:21:12.670000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14824x1240,ses-SCAP1,run-02,33,15:21:29.780000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14824x1240,ses-SCAP1,run-01,33,15:21:29.780000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14706x320,ses-SCAP1,,33,16:41:46.650000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14773x120,ses-SCAP1,,33,13:36:56.400000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14746x840,ses-SCAP1,run-02,33,15:27:16.570000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14746x840,ses-SCAP1,run-01,33,15:27:16.570000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14769x240,ses-SCAP1,run-02,33,11:14:12.430000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14769x240,ses-SCAP1,run-01,33,11:14:12.430000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14767x2240,ses-SCAP1,run-02,33,10:47:9.290000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14767x2240,ses-SCAP1,run-01,33,10:47:9.290000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14752x740,ses-SCAP1,run-02,33,11:18:33.420000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14752x740,ses-SCAP1,run-01,33,11:18:33.420000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14751x620,ses-SCAP1,,33,14:51:59.460000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14746x940,ses-SCAP1,run-07,33,14:31:18.010000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14746x940,ses-SCAP1,run-08,33,14:31:18.010000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14869x1340,ses-SCAP1,run-02,33,14:52:3.810000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14869x1340,ses-SCAP1,run-01,33,14:52:3.810000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14872x1340,ses-SCAP1,run-01,33,09:22:31.320000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14872x1340,ses-SCAP1,run-02,33,09:22:31.320000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14757x1640,ses-SCAP1,run-02,33,09:19:3.290000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14757x1640,ses-SCAP1,run-01,33,09:19:3.290000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14799x120,ses-SCAP1,,33,16:18:2.560000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14741x2340,ses-SCAP1,run-01,33,09:22:48.850000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
sub-14741x2340,ses-SCAP1,run-02,33,09:22:48.850000,Reg - DTI_HR SENSE,TRUE,TRUE,COMPLETE,TRUE
sub-14782x320,ses-SCAP1,,33,15:31:49.010000,DTI_HR,TRUE,TRUE,COMPLETE,TRUE
